This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     584.459263     3.064613     8291.391521     66.881765     8875.850784
669.670000     598.113012     3.240370     8596.759683     74.345462     9194.872696
962.100000     604.304405     3.322072     8740.504253     78.098207     9344.808658
1326.980000     612.236081     3.428583     8929.981389     83.296555     9542.217470
1412.040000     614.119072     3.454175     8975.898950     84.601338     9590.018022
1547.060000     617.135085     3.495412     9050.232924     86.752223     9667.368009
1861.210000     624.283862     3.594371     9230.495754     92.173917     9854.779616
2011.510000     627.770826     3.643263     9320.624979     94.998683     9948.395806
2062.220000     628.957269     3.659992     9351.638156     95.988922     9980.595425
2081.320000     629.405461     3.666324     9363.400597     96.366977     9992.806058
2092.580000     629.670022     3.670065     9370.355952     96.591176     10000.025973
2207.850000     632.392913     3.708705     9442.474367     98.944515     10074.867280
2336.560000     635.464967     3.752601     9525.040615     101.704376     10160.505582
2404.790000     637.107232     3.776199     9569.719386     103.227779     10206.826617
2429.000000     637.692268     3.784628     9585.728905     103.778871     10223.421172
2497.480000     639.353698     3.808629     9631.466183     105.368664     10270.819881
2506.450000     639.572051     3.811790     9637.507476     105.580374     10277.079526
2512.000000     639.707236     3.813748     9641.251303     105.711776     10280.958539
2535.790000     640.287442     3.822159     9657.350579     106.278606     10297.638020
2547.510000     640.573715     3.826313     9665.312624     106.560006     10305.886339
2673.210000     643.662398     3.871311     9752.017680     109.670888     10395.680077
2677.100000     643.758521     3.872717     9754.739944     109.769958     10398.498465
2678.700000     643.798066     3.873295     9755.860335     109.810756     10399.658402
2682.000000     643.879647     3.874489     9758.172420     109.894996     10402.052067
2696.600000     644.240861     3.879775     9768.422355     110.269198     10412.663216
2716.680000     644.738405     3.887064     9782.575036     110.787900     10427.313441
2776.700000     646.230789     3.908979     9825.266743     112.366898     10471.497531
2780.180000     646.317558     3.910256     9827.760131     112.459789     10474.077689
2806.300000     646.969672     3.919858     9846.539052     113.161797     10493.508724
2832.810000     647.633049     3.929641     9865.715177     113.883050     10513.348226
2857.800000     648.259802     3.938898     9883.900855     114.571186     10532.160657
2888.800000     649.039200     3.950428     9906.609089     115.436155     10555.648289
2956.700000     650.753777     3.975867     9956.935145     117.375960     10607.688922
2977.800000     651.288676     3.983824     9972.741525     117.991797     10624.030202
3032.100000     652.669812     4.004415     10013.792294     119.606115     10666.462106
3043.400000     652.958066     4.008721     10022.403704     119.947519     10675.361769
3093.400000     654.236996     4.027861     10060.796420     121.481420     10715.033416
3101.300000     654.439586     4.030898     10066.906115     121.727312     10721.345702
3127.900000     655.122774     4.041150     10087.566806     122.562505     10742.689580
3225.400000     657.640828     4.079077     10164.494162     125.722950     10822.134990
3248.000000     658.227637     4.087948     10182.600941     126.478665     10840.828577
3263.600000     658.633384     4.094088     10195.161322     127.005582     10853.794706
3291.000000     659.347417     4.104908     10217.346296     127.941681     10876.693713
3292.600000     659.389167     4.105541     10218.646683     127.996768     10878.035849
3297.430000     659.515235     4.107453     10222.575533     128.163345     10882.090768
3307.600000     659.780861     4.111485     10230.864380     128.515501     10890.645241
3309.700000     659.835740     4.112318     10232.578703     128.588457     10892.414443
3406.400000     662.374067     4.150969     10312.563321     132.039621     10974.937388
3418.300000     662.687968     4.155765     10322.550405     132.477133     10985.238373
3425.900000     662.888619     4.158832     10328.945588     132.758071     10991.834207
3429.900000     662.994280     4.160448     10332.316781     132.906412     10995.311061
3461.900000     663.840947     4.173409     10359.419154     134.105189     11023.260100
3464.900000     663.920447     4.174627     10361.972196     134.218685     11025.892644
3476.100000     664.217441     4.179180     10371.522187     134.644110     11035.739628
3537.400000     665.848306     4.204239     10424.319450     137.021327     11090.167756
3540.100000     665.920348     4.205348     10426.665770     137.127973     11092.586118
3541.100000     665.947034     4.205759     10427.535229     137.167514     11093.482264
3565.300000     666.593589     4.215721     10448.650964     138.131453     11115.244554
3570.100000     666.722001     4.217702     10452.856388     138.324271     11119.578389
3575.000000     666.853145     4.219725     10457.155329     138.521666     11124.008474
3580.900000     667.011132     4.222163     10462.339544     138.760100     11129.350676
3583.500000     667.080780     4.223238     10464.626874     138.865435     11131.707654
3607.000000     667.711042     4.232975     10485.377922     139.824873     11153.088964
