This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     662.678352     0.413362     10279.016581     12.927348     10941.694933
259.000000     669.736766     0.424178     10505.138516     13.926828     11174.875282
481.000000     675.924775     0.433804     10713.007721     14.916214     11388.932497
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.052059, a0 = 19.594251MeV, a1 = -0.995286, a2 = -0.000582(MeV)^-1



Deutrons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1442.741871     1.432877     13041.914356     19.110308     14484.656228
63.582000     1447.831905     1.446120     12974.289285     19.138898     14422.121190
156.047000     1455.310734     1.465726     12875.865355     19.181015     14331.176089
169.443000     1456.401858     1.468601     12861.598163     19.187171     14318.000021
172.069000     1456.615978     1.469166     12858.801148     19.188379     14315.417126
182.743000     1457.487087     1.471465     12847.431223     19.193296     14304.918310
205.342000     1459.335490     1.476351     12823.354576     19.203735     14282.690067
207.855000     1459.541376     1.476896     12820.676907     19.204899     14280.218283
230.910000     1461.433459     1.481909     12796.107839     19.215594     14257.541297
256.923000     1463.575310     1.487599     12768.379257     19.227711     14231.954566
284.598000     1465.862213     1.493689     12738.870570     19.240660     14204.732783
287.127000     1466.071619     1.494248     12736.173565     19.241847     14202.245184
290.666000     1466.364773     1.495030     12732.399341     19.243508     14198.764115
300.212000     1467.156216     1.497143     12722.218136     19.247993     14189.374352
316.932000     1468.544893     1.500856     12704.383025     19.255867     14172.927918
325.867000     1469.288270     1.502845     12694.850794     19.260084     14164.139064
346.580000     1471.015003     1.507474     12672.749733     19.269884     14143.764737
352.430000     1471.503561     1.508786     12666.506796     19.272658     14138.010358
360.882000     1472.210104     1.510683     12657.486381     19.276671     14129.696485
362.715000     1472.363440     1.511096     12655.529997     19.277542     14127.893438
372.077000     1473.147191     1.513203     12645.537206     19.281995     14118.684397
429.755000     1477.997755     1.526290     12583.950230     19.309587     14061.947985
439.753000     1478.842427     1.528577     12573.270637     19.314397     14052.113065
448.200000     1479.556961     1.530513     12564.246853     19.318468     14043.803814
462.087000     1480.733453     1.533705     12549.409760     19.325173     14030.143213
470.140000     1481.416714     1.535561     12540.804750     19.329069     14022.221464
482.153000     1482.437361     1.538335     12527.966847     19.334891     14010.404208
499.724000     1483.933243     1.542408     12509.186166     19.343427     13993.119409
511.750000     1484.959133     1.545205     12496.330085     19.349285     13981.289218
523.044000     1485.924118     1.547840     12484.254936     19.354797     13970.179054
541.550000     1487.508544     1.552172     12464.465623     19.363853     13951.974167
550.200000     1488.250510     1.554203     12455.214353     19.368095     13943.464863
556.840000     1488.820664     1.555765     12448.112180     19.371356     13936.932844
575.440000     1490.420556     1.560155     12428.214668     19.380511     13918.635223
582.160000     1490.999589     1.561745     12421.024845     19.383826     13912.024434
609.040000     1493.321089     1.568133     12392.259997     19.397125     13885.581086
628.880000     1495.040110     1.572875     12371.023070     19.406981     13866.063180
647.300000     1496.640323     1.577298     12351.301747     19.416162     13847.942070
680.110000     1499.500784     1.585224     12316.163311     19.432590     13815.664095
757.660000     1506.313909     1.604211     12233.055823     19.471799     13739.369732
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.014261, a0 = 14.584253MeV, a1 = -0.993772, a2 = -0.000921(MeV)^-1



Tritons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1949.288440     2.079046     12701.974994     21.167964     14651.263435
134.243000     1963.710022     2.120763     12556.311653     21.249493     14520.021676
206.244000     1971.552158     2.143687     12478.074657     21.294007     14449.626814
303.130000     1982.225430     2.175162     12372.672602     21.354798     14354.898031
511.766000     2005.693288     2.245485     12145.197907     21.489310     14150.891195
581.990000     2013.745174     2.269971     12068.474991     21.535732     14082.220164
589.136000     2014.568947     2.272486     12060.663099     21.540489     14075.232046
618.362000     2017.946602     2.282820     12028.704866     21.560010     14046.651468
625.513000     2018.775144     2.285360     12020.883174     21.564803     14039.658318
647.230000     2021.296445     2.293101     11997.124081     21.579395     14018.420526
685.775000     2025.790381     2.306944     11954.935041     21.605439     13980.725422
718.730000     2029.651932     2.318885     11918.844476     21.627853     13948.496407
767.800000     2035.435146     2.336848     11865.071126     21.661483     13900.506272
772.900000     2036.038520     2.338727     11859.479908     21.664996     13895.518428
816.564000     2041.222251     2.354919     11811.591800     21.695208     13852.814051
826.790000     2042.440924     2.358737     11800.371710     21.702320     13842.812634
844.860000     2044.598743     2.365508     11780.540598     21.714920     13825.139341
864.640000     2046.967147     2.372955     11758.826225     21.728761     13805.793373
879.459000     2048.745926     2.378558     11742.553470     21.739165     13791.299396
933.620000     2055.279296     2.399219     11683.045916     21.777437     13738.325212
960.180000     2058.501829     2.409455     11653.844753     21.796350     13712.346582
969.300000     2059.611211     2.412986     11643.814902     21.802866     13703.426113
1000.930000     2063.470113     2.425297     11609.017627     21.825554     13672.487740
1003.140000     2063.740396     2.426160     11606.585645     21.827144     13670.326042
1190.470000     2086.970157     2.501209     11400.109326     21.964443     13487.079484
1220.910000     2090.805534     2.513754     11366.495421     21.987230     13457.300955
1230.110000     2091.968115     2.517565     11356.332643     21.994144     13448.300759
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.007146, a0 = 14.825760MeV, a1 = -0.998085, a2 = -0.000956(MeV)^-1



Helium-3:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.007146, a0 = 14.825760MeV, a1 = -0.998085, a2 = -0.000956(MeV)^-1



Alphas:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     6295.942283     7.380366     21172.457098     42.248531     27468.399381
122.630000     6321.522783     7.469938     21026.639117     42.401737     27348.161901
396.547000     6379.630847     7.676355     20699.922407     42.751940     27079.553254
737.960000     6454.001272     7.946597     20290.684282     43.204656     26744.685554
809.250000     6469.812149     8.004938     20204.939914     43.301566     26674.752063
862.278000     6481.637444     8.048777     20141.093312     43.374200     26622.730756
883.593000     6486.406356     8.066506     20115.413486     43.403529     26601.819842
952.736000     6501.938274     8.124448     20032.047137     43.499202     26533.985411
1006.731000     6514.134048     8.170159     19966.875865     43.574486     26481.009913
1014.970000     6516.000152     8.177170     19956.926140     43.586018     26472.926292
1030.232000     6519.460573     8.190182     19938.491416     43.607411     26457.951989
1045.395000     6522.903229     8.203143     19920.171423     43.628705     26443.074652
1171.630000     6551.746650     8.312327     19767.464710     43.807565     26319.211361
1197.300000     6557.652230     8.334814     19736.369993     43.844285     26294.022222
1279.190000     6576.583669     8.407201     19637.079300     43.962226     26213.662968
1285.417000     6578.029002     8.412747     19629.523163     43.971245     26207.552164
1298.930000     6581.168287     8.424801     19613.122931     43.990841     26194.291218
1322.133000     6586.567736     8.445563     19584.952962     44.024567     26171.520699
1322.400000     6586.629935     8.445803     19584.628738     44.024956     26171.258673
1349.200000     6592.880814     8.469887     19552.076877     44.064037     26144.957692
1398.080000     6604.321185     8.514097     19492.665270     44.135662     26096.986455
1453.446000     6617.341684     8.564621     19425.305944     44.217337     26042.647628
1458.380000     6618.505238     8.569147     19419.299815     44.224644     26037.805053
1463.410000     6619.691976     8.573765     19413.176262     44.232098     26032.868238
1463.770000     6619.776932     8.574095     19412.737974     44.232632     26032.514906
1517.200000     6632.417218     8.623396     19347.656320     44.312114     25980.073538
1521.300000     6633.389760     8.627198     19342.659552     44.318236     25976.049312
1532.320000     6636.005591     8.637430     19329.227322     44.334706     25965.232913
1563.370000     6643.390333     8.666364     19291.365747     44.381241     25934.756080
1607.500000     6653.922598     8.707755     19237.516825     44.447705     25891.439423
1628.270000     6658.894629     8.727346     19212.157078     44.479120     25871.051707
1628.390000     6658.923384     8.727459     19212.010531     44.479301     25870.933915
1642.460000     6662.297039     8.740771     19194.825652     44.500631     25857.122691
1661.380000     6666.840592     8.758722     19171.709834     44.529376     25838.550426
1709.740000     6678.490584     8.804875     19112.587398     44.603174     25791.077982
1737.500000     6685.201870     8.831545     19078.624770     44.645750     25763.826641
1829.400000     6707.545038     8.920765     18966.061209     44.787824     25673.606247
1908.000000     6726.809047     8.998226     18869.628431     44.910728     25596.437478
2002.400000     6750.136384     9.092694     18753.613505     45.060068     25503.749888
2117.800000     6778.940666     9.210358     18611.492797     45.245251     25390.433462
2166.500000     6791.192684     9.260749     18551.416809     45.324282     25342.609493
2270.500000     6817.551452     9.369858     18422.922284     45.494846     25240.473736
2285.800000     6821.451777     9.386084     18403.995461     45.520147     25225.447238
2516.000000     6880.847192     9.635786     18118.491341     45.907452     24999.338533
2522.800000     6882.622307     9.643324     18110.036397     45.919086     24992.658704
2557.000000     6891.568303     9.681382     18067.494190     45.977768     24959.062493
2672.800000     6922.086763     9.812063     17923.212646     46.178617     24845.299409
2750.900000     6942.870716     9.901816     17825.695877     46.315987     24768.566593
2837.800000     6966.190131     10.003250     17716.991387     46.470687     24683.181518
2864.000000     6973.261308     10.034163     17684.175640     46.517717     24657.436948
3036.000000     7020.156348     10.240993     17468.255170     46.831039     24488.411517
3056.000000     7025.663308     10.265491     17443.092353     46.867997     24468.755662
3068.000000     7028.972957     10.280235     17427.989016     46.890225     24456.961973
3143.800000     7049.974361     10.374168     17332.487768     47.031566     24382.462129
3172.000000     7057.829915     10.409470     17296.914566     47.084564     24354.744480
3193.000000     7063.694835     10.435885     17270.408366     47.124180     24334.103201
3318.000000     7098.873597     10.595395     17112.356354     47.362637     24211.229951
3362.800000     7111.594924     10.653529     17055.593690     47.449225     24167.188613
3364.000000     7111.936504     10.655093     17054.072404     47.451552     24166.008909
3379.000000     7116.209930     10.674679     17035.052554     47.480684     24151.262485
3394.000000     7120.490167     10.694322     17016.025681     47.509883     24136.515847
3428.000000     7130.217351     10.739066     16972.871994     47.576322     24103.089345
3477.000000     7144.298120     10.804088     16910.615798     47.672695     24054.913918
3533.800000     7160.713009     10.880266     16838.353860     47.785342     23999.066870
3542.800000     7163.323161     10.892416     16826.894419     47.803284     23990.217580
3562.400000     7169.016248     10.918954     16801.929276     47.842446     23970.945524
6417.000000     8156.002606     16.337972     13003.628977     55.296151     21159.631583
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.002085, a0 = 27.505883MeV, a1 = -0.980494, a2 = -0.000764(MeV)^-1



