This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     659.333851     0.404567     10209.953972     12.561351     10869.287823
259.000000     666.360233     0.415110     10433.358770     13.522094     11099.719004
481.000000     672.520196     0.424491     10638.592588     14.471541     11311.112784
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.052422, a0 = 19.588947MeV, a1 = -0.996989, a2 = -0.000553(MeV)^-1



Deutrons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1436.266699     1.389675     13015.308911     18.577854     14451.575610
63.582000     1441.337597     1.402458     12947.779323     18.604724     14389.116921
156.047000     1448.788337     1.421383     12849.494819     18.644312     14298.283155
169.443000     1449.875366     1.424158     12835.247882     18.650098     14285.123248
172.069000     1450.088681     1.424703     12832.454840     18.651234     14282.543521
182.743000     1450.956522     1.426922     12821.101067     18.655856     14272.057588
205.342000     1452.797989     1.431637     12797.058648     18.665669     14249.856637
207.855000     1453.003103     1.432163     12794.384786     18.666763     14247.387889
230.910000     1454.888088     1.437002     12769.850683     18.676817     14224.738771
256.923000     1457.021907     1.442493     12742.161604     18.688208     14199.183511
284.598000     1459.300237     1.448372     12712.695003     18.700382     14171.995240
287.127000     1459.508858     1.448911     12710.001848     18.701498     14169.510705
290.666000     1459.800914     1.449666     12706.233011     18.703059     14166.033925
300.212000     1460.589391     1.451705     12696.066341     18.707276     14156.655731
316.932000     1461.972864     1.455288     12678.256708     18.714679     14140.229572
325.867000     1462.713456     1.457208     12668.738101     18.718644     14131.451557
346.580000     1464.433721     1.461676     12646.668650     18.727858     14111.102371
352.430000     1464.920449     1.462941     12640.434647     18.730466     14105.355096
360.882000     1465.624346     1.464773     12631.427144     18.734239     14097.051490
362.715000     1465.777107     1.465170     12629.473561     18.735058     14095.250669
372.077000     1466.557924     1.467204     12619.495081     18.739245     14086.053004
429.755000     1471.390331     1.479834     12557.996431     18.765189     14029.386763
439.753000     1472.231844     1.482041     12547.332177     18.769713     14019.564021
