This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     588.217333     3.056198     8364.578069     67.302761     8952.795403
669.670000     601.982865     3.231246     8675.424359     74.900569     9277.407224
962.100000     608.225271     3.312612     8821.893404     78.728936     9430.118676
1326.980000     616.222597     3.418683     9015.116551     84.041419     9631.339148
1412.040000     618.121222     3.444168     9061.969753     85.376598     9680.090976
1547.060000     621.162316     3.485233     9137.842390     87.579150     9759.004706
1861.210000     628.370736     3.583776     9321.964879     93.139854     9950.335614
2011.510000     631.886890     3.632461     9414.095354     96.042131     10045.982244
2062.220000     633.083279     3.649120     9445.808644     97.060382     10078.891922
2081.320000     633.535230     3.655425     9457.838186     97.449247     10091.373416
2092.580000     633.802011     3.659150     9464.951891     97.679887     10098.753902
2207.850000     636.547769     3.697625     9538.730332     100.102210     10175.278102
2336.560000     639.645669     3.741334     9623.238652     102.946199     10262.884321
2404.790000     641.301771     3.764831     9668.987368     104.517550     10310.289139
2429.000000     641.891740     3.773224     9685.383597     105.086255     10327.275337
2497.480000     643.567189     3.797121     9732.235471     106.727659     10375.802660
2506.450000     643.787385     3.800269     9738.425085     106.946333     10382.212470
2512.000000     643.923712     3.802219     9742.260957     107.082066     10386.184669
2535.790000     644.508818     3.810593     9758.757181     107.667680     10403.265998
2547.510000     644.797509     3.814729     9766.916223     107.958462     10411.713733
2673.210000     647.912313     3.859534     9855.796298     111.175595     10503.708611
2677.100000     648.009250     3.860934     9858.587747     111.278125     10506.596997
2678.700000     648.049131     3.861509     9859.736628     111.320350     10507.785758
2682.000000     648.131402     3.862698     9862.107535     111.407537     10510.238936
2696.600000     648.495675     3.867961     9872.618724     111.794876     10521.114399
2716.680000     648.997432     3.875219     9887.133431     112.331901     10536.130863
2776.700000     650.502464     3.897039     9930.926400     113.967489     10581.428864
2780.180000     650.589969     3.898310     9933.484539     114.063747     10584.074508
2806.300000     651.247613     3.907871     9952.752668     114.791341     10604.000281
2832.810000     651.916619     3.917611     9972.431181     115.539136     10624.347799
2857.800000     652.548692     3.926828     9991.095964     116.252838     10643.644656
2888.800000     653.334709     3.938308     10014.406129     117.150277     10667.740838
2956.700000     655.063857     3.963636     10066.080952     119.164271     10721.144809
2977.800000     655.603305     3.971559     10082.315210     119.804059     10737.918515
3032.100000     656.996194     3.992061     10124.486888     121.482082     10781.483082
3043.400000     657.286902     3.996348     10133.335225     121.837130     10790.622127
3093.400000     658.576726     4.015404     10172.791909     123.433075     10831.368635
3101.300000     658.781043     4.018427     10179.072084     123.689027     10837.853128
3127.900000     659.470055     4.028635     10200.311667     124.558623     10859.781722
3225.400000     662.009596     4.066396     10279.427455     127.852569     10941.437051
3248.000000     662.601417     4.075228     10298.057044     128.640989     10960.658461
3263.600000     663.010631     4.081341     10310.981847     129.190891     10973.992478
3291.000000     663.730767     4.092114     10333.814030     130.168191     10997.544797
3292.600000     663.772874     4.092744     10335.152495     130.225716     10998.925368
3297.430000     663.900019     4.094648     10339.196485     130.399680     11003.096504
3307.600000     664.167917     4.098661     10347.728718     130.767500     11011.896635
3309.700000     664.223266     4.099491     10349.493458     130.843710     11013.716724
3406.400000     666.783316     4.137972     10431.861359     134.452083     11098.644675
3418.300000     667.099906     4.142747     10442.150347     134.909990     11109.250253
3425.900000     667.302276     4.145801     10448.739365     135.204081     11116.041641
3429.900000     667.408843     4.147409     10452.212898     135.359385     11119.621741
3461.900000     668.262766     4.160313     10480.142102     136.614874     11148.404869
3464.900000     668.342949     4.161526     10482.773408     136.733781     11151.116356
3476.100000     668.642489     4.166059     10492.616728     137.179551     11161.259217
3537.400000     670.287347     4.191007     10547.052290     139.672323     11217.339637
3540.100000     670.360006     4.192111     10549.472077     139.784228     11219.832084
3541.100000     670.386922     4.192520     10550.368775     139.825721     11220.755697
3565.300000     671.039028     4.202439     10572.148426     140.837506     11243.187454
3570.100000     671.168543     4.204410     10576.486629     141.039958     11247.655172
3575.000000     671.300814     4.206425     10580.921493     141.247237     11252.222307
3580.900000     671.460157     4.208852     10586.269879     141.497641     11257.730037
3583.500000     671.530404     4.209922     10588.629733     141.608274     11260.160137
3607.000000     672.166081     4.219615     10610.041248     142.616263     11282.207329
3649.000000     673.305591     4.237027     10648.681881     144.454609     11321.987473
3657.900000     673.547622     4.240730     10656.932424     144.850381     11330.480046
3681.000000     674.176736     4.250367     10678.450160     145.888005     11352.626896
3719.000000     675.214547     4.266295     10714.176905     147.628364     11389.391452
3740.100000     675.792372     4.275179     10734.194776     148.613194     11409.987148
3775.000000     676.750578     4.289936     10767.592937     150.272039     11444.343515
3786.300000     677.061489     4.294731     10778.484734     150.817322     11455.546223
3867.200000     679.296897     4.329307     10857.609232     154.843430     11536.906129
3888.800000     679.896579     4.338612     10879.084354     155.956199     11558.980932
3892.000000     679.985523     4.339993     10882.278669     156.122462     11562.264192
3895.100000     680.071712     4.341332     10885.376336     156.283879     11565.448048
3902.100000     680.266425     4.344357     10892.382594     156.649644     11572.649019
3960.100000     681.884643     4.369549     10951.058753     159.749953     11632.943396
3978.400000     682.397034     4.377544     10969.807840     160.754789     11652.204875
4017.100000     683.483499     4.394528     11009.840201     162.923742     11693.323700
4039.200000     684.105698     4.404273     11032.938592     164.189963     11717.044290
4055.000000     684.551318     4.411261     11049.560206     165.107910     11734.111524
4110.500000     686.121863     4.435944     11108.675378     168.419369     11794.797241
4117.000000     686.306337     4.438848     11115.674476     168.816344     11801.980813
4125.300000     686.542059     4.442562     11124.635270     169.326118     11811.177328
4130.440000     686.688128     4.444864     11130.197757     169.643435     11816.885885
4133.200000     686.766591     4.446101     11133.188824     169.814341     11819.955415
4145.200000     687.107973     4.451485     11146.227809     170.561641     11833.335781
4147.800000     687.181989     4.452653     11149.060315     170.724470     11836.242304
4156.240000     687.422384     4.456448     11158.273321     171.255302     11845.695705
4182.000000     688.157283     4.468060     11186.566879     172.897221     11874.724161
4189.000000     688.357292     4.471224     11194.301185     173.349155     11882.658477
4222.100000     689.304840     4.486231     11231.143327     175.520450     11920.448167
4286.900000     691.168463     4.515839     11304.595944     179.942791     11995.764408
4289.200000     691.234821     4.516895     11307.236210     180.104119     11998.471031
4358.000000     693.226489     4.548676     11387.305330     185.076916     12080.531819
4361.900000     693.339779     4.550488     11391.908691     185.367623     12085.248471
4381.000000     693.895220     4.559379     11414.556012     186.805598     12108.451231
4403.000000     694.536248     4.569652     11440.855970     188.491880     12135.392218
4416.000000     694.915670     4.575740     11456.506261     189.503798     12151.421931
4420.400000     695.044197     4.577803     11461.821904     189.848947     12156.866101
4432.900000     695.409624     4.583673     11476.974999     190.836916     12172.384623
4457.100000     696.118333     4.595070     11506.531997     192.781499     12202.650330
4498.500000     697.334566     4.614670     11557.787048     196.209509     12255.121613
4498.800000     697.343396     4.614813     11558.161706     196.234832     12255.505103
4501.200000     697.414053     4.615953     11561.160679     196.437671     12258.574732
4507.100000     697.587819     4.618758     11568.546063     196.938257     12266.133882
4511.500000     697.717471     4.620852     11574.065801     197.313382     12271.783272
4517.000000     697.879614     4.623471     11580.979954     197.784475     12278.859568
4531.200000     698.298632     4.630244     11598.906001     199.012132     12297.204634
4533.000000     698.351788     4.631103     11601.186086     199.168936     12299.537875
4577.500000     699.668850     4.652434     11658.121397     203.132946     12357.790247
4593.200000     700.134869     4.659997     11678.473774     204.572957     12378.608644
4598.000000     700.277488     4.662313     11684.724338     205.017685     12385.001826
4637.000000     701.438713     4.681196     11736.009037     208.711253     12437.447749
4644.200000     701.653572     4.684695     11745.575780     209.409195     12447.229352
4647.200000     701.743140     4.686154     11749.571162     209.701522     12451.314302
4753.100000     704.921657     4.738120     11894.232511     220.632285     12599.154168
4789.200000     706.012671     4.756041     11945.241266     224.654573     12651.253938
4796.200000     706.224670     4.759528     11955.237407     225.453560     12661.462077
4805.700000     706.512614     4.764266     11968.859352     226.548120     12675.371966
4810.200000     706.649102     4.766514     11975.334437     227.070759     12681.983540
4839.200000     707.530130     4.781036     12017.416766     230.504836     12724.946896
4869.700000     708.459429     4.796383     12062.353481     234.244962     12770.812909
4919.900000     709.995022     4.821812     12137.894298     240.709087     12847.889320
4955.400000     711.085529     4.839921     12192.557532     245.530841     12903.643062
5016.200000     712.962093     4.871183     12288.720884     254.323671     13001.682978
5053.200000     714.109607     4.890362     12348.906410     260.039099     13063.016017
5073.200000     714.731637     4.900779     12381.991961     263.254061     13096.723598
5101.200000     715.604552     4.915419     12428.989591     267.913269     13144.594144
5140.200000     716.824450     4.935926     12495.824288     274.733256     13212.648738
5162.200000     717.514688     4.947552     12534.262740     278.763229     13251.777428
5226.200000     719.531282     4.981619     12649.304080     291.323582     13368.835362
5253.000000     720.379569     4.995993     12698.988733     296.993352     13419.368301
5274.200000     721.052216     5.007410     12738.963041     301.668934     13460.015257
5292.000000     721.618092     5.017027     12773.001839     305.733352     13494.619930
5304.000000     722.000152     5.023526     12796.201589     308.548629     13518.201741
5312.200000     722.261491     5.027975     12812.174230     310.508634     13534.435721
5319.500000     722.494328     5.031941     12826.476741     312.278989     13548.971068
5335.600000     723.008450     5.040705     12858.302202     316.271189     13581.310651
5359.300000     723.766780     5.053649     12905.876587     322.379089     13629.643367
5366.200000     723.987900     5.057427     12919.894607     324.211820     13643.882506
5401.000000     725.105463     5.076550     12991.793004     333.858653     13716.898468
5413.900000     725.520731     5.083667     13018.971933     337.617058     13744.492664
5543.300000     729.716458     5.155930     13309.499419     382.200027     14039.215877
5566.000000     730.458201     5.168772     13364.267687     391.644159     14094.725889
5572.200000     730.661091     5.172288     13379.450008     394.329351     14110.111099
5579.300000     730.893590     5.176319     13396.957757     397.463396     14127.851347
5592.300000     731.319729     5.183713     13429.358436     403.372603     14160.678165
5601.900000     731.634780     5.189184     13453.578639     407.885543     14185.213418
5735.300000     736.044910     5.266142     13820.330155     488.608036     14556.375064
5797.300000     738.115295     5.302517     14014.900723     544.659880     14753.016019
5804.300000     738.349883     5.306649     14038.095142     552.224824     14776.445025
5828.300000     739.155476     5.320852     14119.776555     580.764766     14858.932031
5833.000000     739.313472     5.323641     14136.185997     586.896859     14875.499469
5878.000000     740.830112     5.350454     14301.058116     658.331072     15041.888228
6093.300000     748.185734     5.481706     15531.485466     723.792894     16279.671200
6285.600000     754.898053     5.603235     15732.586503     157.753768     16487.484556
6375.300000     758.076351     5.661368     15643.503717     157.917235     16401.580067
6496.400000     762.416040     5.741356     15523.193234     158.140904     16285.609274
7075.600000     783.983855     6.149499     14947.038063     159.260681     15731.021918
7400.000000     796.686713     6.398259     14623.778688     159.926693     15420.465400
7472.700000     799.598519     6.456167     14551.275045     160.080050     15350.873564
7513.300000     801.235282     6.488863     14510.774982     160.166369     15312.010264
7529.900000     801.906714     6.502306     14494.213819     160.201802     15296.120533
7605.600000     804.985026     6.564166     14418.675896     160.364431     15223.660922
8564.940000     846.491258     7.435187     13459.092271     162.586405     14305.583529
8629.000000     849.439572     7.499717     13394.852242     162.746352     14244.291815
8639.180000     849.910277     7.510052     13384.641605     162.771914     14234.551881
8693.600000     852.436773     7.565683     13330.048296     162.909244     14182.485068
8700.800000     852.772335     7.573092     13322.824158     162.927500     14175.596492
8718.600000     853.603224     7.591457     13304.963264     162.972719     14158.566488
8719.100000     853.626591     7.591973     13304.461529     162.973991     14158.088119
8719.300000     853.635938     7.592180     13304.260834     162.974500     14157.896772
8727.700000     854.028725     7.600872     13295.831461     162.995885     14149.860186
8731.900000     854.225275     7.605224     13291.616629     163.006588     14145.841904
8734.500000     854.347000     7.607920     13289.007399     163.013217     14143.354399
8738.600000     854.539034     7.612174     13284.892767     163.023676     14139.431801
8743.300000     854.759292     7.617056     13280.175880     163.035674     14134.935172
8743.700000     854.778043     7.617472     13279.774437     163.036695     14134.552481
8746.500000     854.909330     7.620382     13276.964313     163.043847     14131.873642
8747.500000     854.956229     7.621422     13275.960686     163.046402     14130.916915
