This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     660.596792     0.408498     10235.250379     12.713903     10895.847171
259.000000     667.634706     0.419163     10459.583617     13.689933     11127.218323
481.000000     673.804757     0.428655     10665.714671     14.655011     11339.519427
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.052220, a0 = 19.591738MeV, a1 = -0.996166, a2 = -0.000567(MeV)^-1



Deutrons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1438.592891     1.409171     13029.368504     18.828128     14467.961395
63.582000     1443.669836     1.422162     12961.795480     18.855798     14405.465315
156.047000     1451.129438     1.441394     12863.447590     18.896563     14314.577028
169.443000     1452.217758     1.444214     12849.191449     18.902521     14301.409207
172.069000     1452.431327     1.444768     12846.396602     18.903691     14298.827929
182.743000     1453.300198     1.447023     12835.035490     18.908450     14288.335688
205.342000     1455.143851     1.451816     12810.977521     18.918554     14266.121372
207.855000     1455.349207     1.452350     12808.301930     18.919680     14263.651137
230.910000     1457.236428     1.457268     12783.751946     18.930033     14240.988374
256.923000     1459.372775     1.462848     12756.044928     18.941762     14215.417703
284.598000     1461.653803     1.468822     12726.559220     18.954297     14188.213022
287.127000     1461.862670     1.469370     12723.864317     18.955445     14185.726987
290.666000     1462.155072     1.470137     12720.093035     18.957053     14182.248107
300.212000     1462.944482     1.472210     12709.919767     18.961395     14172.864249
316.932000     1464.329591     1.475851     12692.098570     18.969017     14156.428162
325.867000     1465.071059     1.477803     12682.573781     18.973099     14147.644840
346.580000     1466.793356     1.482343     12660.489987     18.982585     14127.283343
352.430000     1467.280659     1.483629     12654.251931     18.985271     14121.532590
360.882000     1467.985388     1.485491     12645.238569     18.989155     14113.223957
362.715000     1468.138330     1.485895     12643.283716     18.989998     14111.422046
372.077000     1468.920068     1.487962     12633.298744     18.994309     14102.218811
429.755000     1473.758174     1.500798     12571.760038     19.021020     14045.518213
439.753000     1474.600678     1.503041     12561.088830     19.025677     14035.689508
448.200000     1475.313377     1.504940     12552.072134     19.029618     14027.385511
462.087000     1476.486848     1.508070     12537.246702     19.036110     14013.733549
470.140000     1477.168355     1.509890     12528.648458     19.039881     14005.816813
482.153000     1478.186381     1.512612     12515.820655     19.045517     13994.007036
499.724000     1479.678423     1.516606     12497.054760     19.053781     13976.733183
511.750000     1480.701679     1.519350     12484.208809     19.059452     13964.910488
523.044000     1481.664187     1.521933     12472.143180     19.064789     13953.807367
541.550000     1483.244546     1.526182     12452.369481     19.073556     13935.614026
550.200000     1483.984608     1.528174     12443.125514     19.077664     13927.110122
556.840000     1484.553298     1.529706     12436.028951     19.080821     13920.582249
575.440000     1486.149083     1.534011     12416.147164     19.089685     13902.296248
582.160000     1486.726630     1.535571     12408.963028     19.092894     13895.689658
609.040000     1489.042173     1.541836     12380.220948     19.105770     13869.263120
628.880000     1490.756782     1.546487     12359.000850     19.115312     13849.757632
647.300000     1492.352889     1.550824     12339.295171     19.124202     13831.648060
680.110000     1495.206010     1.558597     12304.184645     19.140107     13799.390656
757.660000     1502.001657     1.577218     12221.143356     19.178072     13723.145013
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.014457, a0 = 14.580493MeV, a1 = -0.994982, a2 = -0.000900(MeV)^-1



Tritons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1943.984462     2.040173     12686.795134     20.802083     14630.779596
134.243000     1958.372242     2.081007     12541.264572     20.881009     14499.636815
206.244000     1966.196010     2.103445     12463.099220     20.924105     14429.295230
303.130000     1976.844296     2.134252     12357.794054     20.982963     14334.638349
511.766000     2000.257271     2.203078     12130.529914     21.113207     14130.787185
581.990000     2008.290343     2.227041     12053.878469     21.158161     14062.168812
589.136000     2009.112191     2.229503     12046.073868     21.162768     14055.186059
618.362000     2012.481957     2.239616     12014.145484     21.181672     14026.627441
625.513000     2013.308565     2.242102     12006.331104     21.186313     14019.639669
647.230000     2015.823978     2.249677     11982.594236     21.200445     13998.418213
685.775000     2020.307421     2.263224     11940.444716     21.225667     13960.752136
718.730000     2024.159957     2.274909     11904.388014     21.247374     13928.547972
767.800000     2029.929676     2.292488     11850.665217     21.279943     13880.594893
772.900000     2030.531641     2.294327     11845.079262     21.283345     13875.610904
816.564000     2035.703279     2.310172     11797.236283     21.312607     13832.939562
826.790000     2036.919110     2.313908     11786.026781     21.319494     13822.945891
844.860000     2039.071896     2.320534     11766.214393     21.331698     13805.286289
864.640000     2041.434777     2.327821     11744.520542     21.345104     13785.955319
879.459000     2043.209408     2.333304     11728.263179     21.355180     13771.472586
933.620000     2049.727546     2.353522     11668.812001     21.392250     13718.539548
960.180000     2052.942569     2.363538     11639.638557     21.410569     13692.581125
969.300000     2054.049364     2.366993     11629.618235     21.416881     13683.667599
1000.930000     2057.899275     2.379039     11594.854050     21.438857     13652.753325
1003.140000     2058.168928     2.379884     11592.424383     21.440397     13650.593311
1190.470000     2081.344596     2.453317     11386.145476     21.573399     13467.490072
1220.910000     2085.171047     2.465591     11352.563880     21.595474     13437.734927
1230.110000     2086.330923     2.469320     11342.410879     21.602172     13428.741802
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.007271, a0 = 14.820732MeV, a1 = -0.999496, a2 = -0.000934(MeV)^-1



Helium-3:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.007271, a0 = 14.820732MeV, a1 = -0.999496, a2 = -0.000934(MeV)^-1



Alphas:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     6277.032537     7.144226     21160.070540     40.977878     27437.103077
122.630000     6302.534878     7.230725     21014.409876     41.125250     27316.944754
396.547000     6360.464968     7.430052     20688.048654     41.462124     27048.513623
737.960000     6434.606723     7.690993     20279.261838     41.897626     26713.868561
809.250000     6450.368854     7.747322     20193.612901     41.990852     26643.981755
862.278000     6462.157660     7.789650     20129.837559     42.060726     26591.995219
883.593000     6466.911849     7.806768     20104.186443     42.088941     26571.098291
952.736000     6482.395786     7.862712     20020.913489     42.180979     26503.309275
1006.731000     6494.553853     7.906845     19955.815433     42.253403     26450.369286
1014.970000     6496.414185     7.913614     19945.876903     42.264497     26442.291087
1030.232000     6499.863900     7.926177     19927.462929     42.285077     26427.326829
1045.395000     6503.295903     7.938691     19909.163573     42.305563     26412.459477
1171.630000     6532.049983     8.044104     19756.629443     42.477631     26288.679426
1197.300000     6537.937250     8.065814     19725.569991     42.512957     26263.507241
1279.190000     6556.809939     8.135699     19626.392193     42.626421     26183.202132
1285.417000     6558.250783     8.141053     19618.844666     42.635097     26177.095449
1298.930000     6561.380319     8.152690     19602.463128     42.653949     26163.843447
1322.133000     6566.762994     8.172734     19574.325299     42.686396     26141.088293
1322.400000     6566.824999     8.172966     19574.001444     42.686770     26140.826444
1349.200000     6573.056452     8.196217     19541.486767     42.724367     26114.543219
1398.080000     6584.461248     8.238898     19482.143145     42.793275     26066.604393
1453.446000     6597.441227     8.287673     19414.861090     42.871851     26012.302318
1458.380000     6598.601159     8.292042     19408.861861     42.878881     26007.463020
1463.410000     6599.784201     8.296500     19402.745345     42.886052     26002.529546
1463.770000     6599.868893     8.296819     19402.307561     42.886565     26002.176454
1517.200000     6612.469803     8.344413     19337.300798     42.963032     25949.770601
1521.300000     6613.439314     8.348083     19332.309787     42.968921     25945.749101
1532.320000     6616.046992     8.357961     19318.893041     42.984767     25934.940033
1563.370000     6623.408710     8.385893     19281.075155     43.029537     25904.483864
1607.500000     6633.908117     8.425850     19227.288483     43.093480     25861.196600
1628.270000     6638.864630     8.444762     19201.958097     43.123703     25840.822727
1628.390000     6638.893294     8.444871     19201.811721     43.123878     25840.705015
1642.460000     6642.256417     8.457721     19184.646755     43.144399     25826.903172
