This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     584.058613     3.118635     8273.679704     67.686735     8857.738317
669.670000     597.668477     3.298102     8576.270695     75.192458     9173.939172
962.100000     603.839551     3.381541     8718.608813     78.961101     9322.448364
1326.980000     611.744818     3.490330     8906.127484     84.175464     9517.872302
1412.040000     613.621477     3.516471     8951.551698     85.483146     9565.173175
1547.060000     616.627299     3.558595     9025.070924     87.637811     9641.698222
1861.210000     623.751674     3.659690     9203.272167     93.063414     9827.023840
2011.510000     627.226611     3.709642     9292.323036     95.886965     9919.549647
2062.220000     628.408942     3.726735     9322.957530     96.876241     9951.366472
2081.320000     628.855579     3.733204     9334.575308     97.253855     9963.430886
2092.580000     629.119221     3.737026     9341.444850     97.477772     9970.564071
2207.850000     631.832629     3.776506     9412.661506     99.827284     10044.494135
2336.560000     634.893924     3.821360     9494.167919     102.580602     10129.061843
2404.790000     636.530411     3.845474     9538.260645     104.099432     10174.791056
2429.000000     637.113384     3.854087     9554.057985     104.648700     10191.171370
2497.480000     638.768945     3.878612     9599.182652     106.232721     10237.951597
2506.450000     638.986525     3.881842     9605.142307     106.443606     10244.128832
2512.000000     639.121232     3.883843     9608.835458     106.574488     10247.956690
2535.790000     639.699382     3.892438     9624.716070     107.139018     10264.415451
2547.510000     639.984640     3.896683     9632.569526     107.419241     10272.554165
2673.210000     643.062336     3.942669     9718.072591     110.515500     10361.134927
2677.100000     643.158116     3.944105     9720.756532     110.614055     10363.914648
2678.700000     643.197521     3.944696     9721.861140     110.654640     10365.058661
2682.000000     643.278811     3.945916     9724.140634     110.738439     10367.419444
2696.600000     643.638735     3.951318     9734.245775     111.110657     10377.884510
2716.680000     644.134501     3.958768     9748.197685     111.626538     10392.332186
2776.700000     645.621543     3.981164     9790.277761     113.196433     10435.899304
2780.180000     645.708002     3.982469     9792.735146     113.288765     10438.443148
2806.300000     646.357776     3.992282     9811.241906     113.986457     10457.599682
2832.810000     647.018770     4.002280     9830.138274     114.703116     10477.157044
2857.800000     647.643270     4.011741     9848.056910     115.386717     10495.700180
2888.800000     648.419862     4.023525     9870.429304     116.245774     10518.849166
2956.700000     650.128251     4.049525     9920.001495     118.171461     10570.129746
2977.800000     650.661216     4.057658     9935.568345     118.782565     10586.229560
3032.100000     652.037348     4.078704     9975.990773     120.383903     10628.028121
3043.400000     652.324556     4.083105     9984.469216     120.722455     10636.793772
3093.400000     653.598839     4.102668     10022.264179     122.243078     10675.863018
3101.300000     653.800692     4.105772     10028.277999     122.486770     10682.078691
3127.900000     654.481392     4.116251     10048.612936     123.314347     10703.094328
3225.400000     656.990250     4.155018     10124.306151     126.443904     10781.296401
3248.000000     657.574910     4.164085     10142.117493     127.191746     10799.692403
3263.600000     657.979170     4.170362     10154.471809     127.713062     10812.450979
3291.000000     658.690583     4.181422     10176.290546     128.638983     10834.981129
3292.600000     658.732179     4.182069     10177.569375     128.693461     10836.301554
3297.430000     658.857784     4.184024     10181.433032     128.858194     10840.290816
3307.600000     659.122435     4.188145     10189.584036     129.206420     10848.706471
3309.700000     659.177112     4.188996     10191.269799     129.278556     10850.446911
3406.400000     661.706089     4.228507     10269.902116     132.688912     10931.608205
3418.300000     662.018831     4.233409     10279.717591     133.120963     10941.736422
3425.900000     662.218741     4.236544     10286.002559     133.398361     10948.221299
3429.900000     662.324011     4.238196     10289.315549     133.544822     10951.639561
3461.900000     663.167546     4.251445     10315.947417     134.728128     10979.114964
3464.900000     663.246753     4.252691     10318.455899     134.840134     10981.702652
3476.100000     663.542647     4.257346     10327.838838     135.259934     10991.381485
3537.400000     665.167463     4.282962     10379.702000     137.604574     11044.869463
3540.100000     665.239237     4.284096     10382.006390     137.709714     11047.245627
3541.100000     665.265824     4.284516     10382.860302     137.748695     11048.126126
