This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
737.960000     6422.123665     7.294361     20230.747071     39.727806     26652.870735
809.250000     6437.870973     7.347631     20145.198575     39.815164     26583.069548
862.278000     6449.648745     7.387660     20081.498027     39.880642     26531.146772
883.593000     6454.398496     7.403848     20055.876995     39.907082     26510.275491
952.736000     6469.868032     7.456752     19972.701706     39.993333     26442.569738
1006.731000     6482.014845     7.498488     19907.680002     40.061206     26389.694847
1014.970000     6483.873459     7.504889     19897.753128     40.071603     26381.626587
1030.232000     6487.319992     7.516770     19879.360752     40.090890     26366.680744
1045.395000     6490.748833     7.528603     19861.082859     40.110089     26351.831692
1171.630000     6519.476569     7.628287     19708.727631     40.271355     26228.204200
1197.300000     6525.358476     7.648817     19677.704607     40.304465     26203.063082
1279.190000     6544.214056     7.714903     19578.643126     40.410813     26122.857182
1285.417000     6545.653599     7.719966     19571.104450     40.418946     26116.758049
1298.930000     6548.780311     7.730970     19554.742125     40.436616     26103.522436
1322.133000     6554.158136     7.749925     19526.637294     40.467029     26080.795430
1322.400000     6554.220086     7.750144     19526.313819     40.467379     26080.533905
1349.200000     6560.445936     7.772131     19493.837272     40.502621     26054.283208
1398.080000     6571.840510     7.812491     19434.563241     40.567212     26006.403751
1453.446000     6584.808908     7.858614     19367.360082     40.640868     25952.168990
1458.380000     6585.967808     7.862745     19361.367887     40.647458     25947.335695
1463.410000     6587.149798     7.866961     19355.258543     40.654180     25942.408341
1463.770000     6587.234415     7.867262     19354.821272     40.654662     25942.055686
1517.200000     6599.824145     7.912268     19289.890729     40.726343     25889.714874
1521.300000     6600.792798     7.915738     19284.905570     40.731864     25885.698368
1532.320000     6603.398170     7.925079     19271.504554     40.746718     25874.902724
1563.370000     6610.753389     7.951492     19233.731004     40.788688     25844.484394
1607.500000     6621.243560     7.989275     19180.007387     40.848633     25801.250946
1628.270000     6626.195725     8.007158     19154.706694     40.876966     25780.902419
1628.390000     6626.224364     8.007261     19154.560489     40.877130     25780.784853
1642.460000     6629.584541     8.019412     19137.415644     40.896369     25767.000185
1661.380000     6634.109944     8.035799     19114.353698     40.922295     25748.463642
1709.740000     6645.713410     8.077928     19055.369156     40.988859     25701.082566
1737.500000     6652.397901     8.102272     19021.485811     41.027263     25673.883712
1829.400000     6674.651903     8.183710     18909.185384     41.155418     25583.837286
1908.000000     6693.839083     8.254413     18812.978480     41.266288     25506.817563
2002.400000     6717.073448     8.340636     18697.235845     41.401013     25414.309292
2117.800000     6745.763020     8.448028     18555.449520     41.568085     25301.212541
2166.500000     6757.966277     8.494018     18495.515154     41.639391     25253.481431
2270.500000     6784.220203     8.593596     18367.324082     41.793291     25151.544285
2285.800000     6788.105022     8.608404     18348.442020     41.816121     25136.547042
2516.000000     6847.264524     8.836278     18063.615076     42.165630     24910.879600
2522.800000     6849.032596     8.843157     18055.180242     42.176129     24904.212838
2557.000000     6857.943098     8.877887     18012.739273     42.229090     24870.682371
2672.800000     6888.340544     8.997136     17868.801697     42.410365     24757.142241
2750.900000     6909.042147     9.079035     17771.517950     42.534357     24680.560097
2837.800000     6932.269225     9.171590     17663.073733     42.673998     24595.342959
2864.000000     6939.312416     9.199796     17630.336665     42.716452     24569.649081
3036.000000     6986.021999     9.388512     17414.935131     42.999307     24400.957130
3056.000000     6991.507198     9.410863     17389.832932     43.032673     24381.340129
3068.000000     6994.803769     9.424315     17374.765993     43.052741     24369.569762
3143.800000     7015.722223     9.510017     17279.495142     43.180352     24295.217365
3172.000000     7023.546762     9.542225     17244.007869     43.228205     24267.554631
3193.000000     7029.388531     9.566325     17217.565736     43.263974     24246.954267
3318.000000     7064.428515     9.711849     17059.896426     43.479291     24124.324941
3362.800000     7077.099691     9.764885     17003.271493     43.557481     24080.371184
3364.000000     7077.439925     9.766312     17001.753901     43.559583     24079.193826
3379.000000     7081.696509     9.784179     16982.780237     43.585889     24064.476745
3394.000000     7085.959878     9.802100     16963.799583     43.612258     24049.759461
3428.000000     7095.648738     9.842919     16920.750789     43.672256     24016.399526
3477.000000     7109.674048     9.902236     16858.646072     43.759290     23968.320120
3533.800000     7126.024314     9.971729     16786.560190     43.861024     23912.584504
3542.800000     7128.624193     9.982813     16775.128691     43.877228     23903.752884
3562.400000     7134.294876     10.007022     16750.224443     43.912598     23884.519318
6417.000000     8117.449145     14.947916     12961.547048     50.652671     21078.996193
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.002407, a0 = 27.482531MeV, a1 = -0.983733, a2 = -0.000741(MeV)^-1



