This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     659.231948     0.399220     10213.751624     12.423520     10872.983572
259.000000     666.261829     0.409591     10437.803865     13.376057     11104.065694
481.000000     672.424928     0.418820     10643.687309     14.317980     11316.112237
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.053031, a0 = 19.582585MeV, a1 = -0.998468, a2 = -0.000530(MeV)^-1



Deutrons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1437.014808     1.361770     12982.810813     18.156938     14419.825621
63.582000     1442.094493     1.374256     12915.342392     18.182507     14357.436885
156.047000     1449.558226     1.392741     12817.146883     18.220183     14266.705109
169.443000     1450.647158     1.395451     12802.912844     18.225690     14253.560003
172.069000     1450.860848     1.395984     12800.122331     18.226771     14250.983179
182.743000     1451.730210     1.398151     12788.778835     18.231170     14240.509045
205.342000     1453.574912     1.402757     12764.758178     18.240511     14218.333090
207.855000     1453.780386     1.403270     12762.086737     18.241552     14215.867122
230.910000     1455.668688     1.407997     12737.574838     18.251122     14193.243526
256.923000     1457.806270     1.413360     12709.910815     18.261965     14167.717085
284.598000     1460.088626     1.419101     12680.470876     18.273554     14140.559502
287.127000     1460.297616     1.419628     12677.780157     18.274616     14138.077773
290.666000     1460.590189     1.420365     12674.014730     18.276102     14134.604919
300.212000     1461.380062     1.422357     12663.857257     18.280117     14125.237320
316.932000     1462.765989     1.425856     12646.063735     18.287164     14108.829724
325.867000     1463.507895     1.427732     12636.553738     18.290938     14100.061633
346.580000     1465.231217     1.432095     12614.504248     18.299710     14079.735464
352.430000     1465.718810     1.433331     12608.275883     18.302193     14073.994693
360.882000     1466.423961     1.435120     12599.276525     18.305785     14065.700486
362.715000     1466.576994     1.435508     12597.324710     18.306565     14063.901704
372.077000     1467.359202     1.437494     12587.355252     18.310551     14054.714454
429.755000     1472.200244     1.449829     12525.912203     18.335253     13998.112446
439.753000     1473.043264     1.451984     12515.257588     18.339560     13988.300851
448.200000     1473.756401     1.453809     12506.254913     18.343205     13980.011314
462.087000     1474.930595     1.456817     12491.452539     18.349209     13966.383134
470.140000     1475.612525     1.458566     12482.867669     18.352697     13958.480194
482.153000     1476.631182     1.461181     12470.059822     18.357910     13946.691004
499.724000     1478.124155     1.465019     12451.323124     18.365554     13929.447278
511.750000     1479.148052     1.467655     12438.497162     18.370800     13917.645214
523.044000     1480.111164     1.470138     12426.450310     18.375736     13906.561474
