This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     585.986565     3.057815     8321.748043     66.998288     8907.734608
669.670000     599.687875     3.233054     8629.478112     74.512603     9229.165988
962.100000     605.900993     3.314512     8774.398510     78.294361     9380.299503
1326.980000     613.860644     3.420703     8965.493408     83.536974     9579.354052
1412.040000     615.750300     3.446218     9011.815207     84.853627     9627.565507
1547.060000     618.777008     3.487330     9086.814085     87.024754     9705.591093
1861.210000     625.951227     3.585987     9268.745446     92.501275     9894.696674
2011.510000     629.450649     3.634730     9359.740132     95.356807     9989.190781
2062.220000     630.641337     3.651407     9391.056124     96.358194     10021.697462
2081.320000     631.091134     3.657720     9402.934098     96.740556     10034.025233
2092.580000     631.356643     3.661449     9409.957948     96.967321     10041.314591
2207.850000     634.089298     3.699970     9482.794477     99.348197     10116.883775
2336.560000     637.172390     3.743731     9566.200981     102.141745     10203.373370
2404.790000     638.820564     3.767256     9611.342727     103.684394     10250.163291
2429.000000     639.407708     3.775659     9627.519587     104.242564     10266.927295
2497.480000     641.075127     3.799585     9673.739208     105.853118     10314.814335
2506.450000     641.294267     3.802737     9679.844690     106.067633     10321.138957
2512.000000     641.429941     3.804689     9683.628351     106.200779     10325.058292
2535.790000     642.012240     3.813073     9699.899417     106.775176     10341.911657
2547.510000     642.299546     3.817214     9707.946719     107.060357     10350.246266
2673.210000     645.399392     3.862073     9795.593143     110.214131     10440.992535
2677.100000     645.495863     3.863474     9798.345353     110.314599     10443.841216
2678.700000     645.535552     3.864051     9799.478075     110.355975     10445.013627
2682.000000     645.617428     3.865241     9801.815620     110.441406     10447.433047
2696.600000     645.979949     3.870511     9812.178635     110.820921     10458.158584
2716.680000     646.479294     3.877777     9826.488015     111.347035     10472.967309
2776.700000     647.977084     3.899624     9869.656404     112.948947     10517.633488
2780.180000     648.064168     3.900896     9872.177820     113.043202     10520.241988
2806.300000     648.718646     3.910468     9891.168500     113.755581     10539.887147
2832.810000     649.384429     3.920221     9910.562093     114.487598     10559.946522
2857.800000     650.013458     3.929449     9928.955163     115.186108     10578.968620
2888.800000     650.795686     3.940943     9951.923959     116.064259     10602.719645
2956.700000     652.516493     3.966302     10002.833875     118.034217     10655.350368
2977.800000     653.053338     3.974234     10018.825479     118.659797     10671.878817
3032.100000     654.439500     3.994761     10060.361479     120.300049     10714.800979
3043.400000     654.728804     3.999053     10069.075453     120.647011     10723.804256
3093.400000     656.012394     4.018133     10107.928752     122.206202     10763.941146
3101.300000     656.215723     4.021160     10114.112247     122.456197     10770.327970
3127.900000     656.901402     4.031380     10135.023534     123.305426     10791.924936
3225.400000     659.428649     4.069188     10212.898226     126.520399     10872.326875
3248.000000     660.017603     4.078030     10231.231316     127.289487     10891.248919
3263.600000     660.424833     4.084151     10243.949445     127.825805     10904.374278
3291.000000     661.141478     4.094937     10266.414573     128.778764     10927.556051
3292.600000     661.183380     4.095568     10267.731442     128.834849     10928.914822
3297.430000     661.309910     4.097475     10271.710131     129.004449     10933.020041
3307.600000     661.576508     4.101493     10280.104330     129.363018     10941.680838
3309.700000     661.631588     4.102324     10281.840476     129.437306     10943.472064
3406.400000     664.179213     4.140853     10362.856672     132.952888     11027.035885
3418.300000     664.494264     4.145633     10372.974426     133.398764     11037.468690
3425.900000     664.695651     4.148691     10379.453503     133.685098     11044.149155
3429.900000     664.801700     4.150301     10382.868990     133.836295     11047.670690
3461.900000     665.651473     4.163221     10410.329218     135.058344     11075.980691
3464.900000     665.731266     4.164436     10412.916132     135.174061     11078.647398
3476.100000     666.029350     4.168975     10422.593073     135.607838     11088.622422
3537.400000     667.666206     4.193954     10476.099341     138.032517     11143.765547
3540.100000     667.738512     4.195059     10478.477454     138.141324     11146.215966
3541.100000     667.765296     4.195469     10479.358700     138.181667     11147.123997
3565.300000     668.414228     4.205400     10500.761739     139.165272     11169.175967
3570.100000     668.543112     4.207374     10505.024620     139.362050     11173.567732
3575.000000     668.674739     4.209390     10509.382379     139.563509     11178.057117
3580.900000     668.833307     4.211821     10514.637634     139.806865     11183.470941
3583.500000     668.903211     4.212892     10516.956347     139.914379     11185.859558
3607.000000     669.535792     4.222598     10537.993186     140.893784     11207.528977
3649.000000     670.669748     4.240031     10575.951243     142.679255     11246.620991
3657.900000     670.910599     4.243739     10584.054961     143.063516     11254.965560
3681.000000     671.536645     4.253388     10605.187964     144.070750     11276.724609
3719.000000     672.569393     4.269336     10640.270082     145.759437     11312.839475
3740.100000     673.144398     4.278231     10659.923539     146.714637     11333.067937
3775.000000     674.097925     4.293007     10692.708473     148.322934     11366.806398
3786.300000     674.407317     4.297808     10703.398853     148.851425     11377.806171
3867.200000     676.631797     4.332428     10781.038590     152.750829     11457.670387
3888.800000     677.228545     4.341744     10802.104072     153.827727     11479.332617
3892.000000     677.317054     4.343127     10805.237208     153.988599     11482.554262
3895.100000     677.402822     4.344468     10808.275486     154.144774     11485.678308
3902.100000     677.596582     4.347496     10815.147194     154.498631     11492.743776
3960.100000     679.206877     4.372720     10872.684207     157.496385     11551.891084
3978.400000     679.716758     4.380726     10891.064590     158.467357     11570.781348
4017.100000     680.797898     4.397732     10930.301924     160.562159     11611.099822
4039.200000     681.417046     4.407489     10952.936698     161.784423     11634.353744
4055.000000     681.860480     4.414486     10969.222448     162.670194     11651.082927
4110.500000     683.423317     4.439200     11027.127618     165.863395     11710.550935
4117.000000     683.606885     4.442108     11033.981830     166.245962     11717.588715
4125.300000     683.841449     4.445826     11042.756621     166.737163     11726.598070
4130.440000     683.986801     4.448131     11048.203357     167.042878     11732.190158
4133.200000     684.064879     4.449370     11051.132091     167.207521     11735.196970
4145.200000     684.404584     4.454761     11063.898593     167.927330     11748.303176
4147.800000     684.478237     4.455930     11066.671745     168.084146     11751.149981
4156.240000     684.717450     4.459730     11075.691292     168.595315     11760.408743
4182.000000     685.448737     4.471357     11103.386858     170.175849     11788.835595
4189.000000     685.647763     4.474525     11110.956673     170.610736     11796.604436
4222.100000     686.590652     4.489551     11147.009143     172.699217     11833.599795
4286.900000     688.445104     4.519197     11218.856545     176.948177     11907.301650
4289.200000     688.511135     4.520255     11221.438331     177.103060     11909.949466
4358.000000     690.492991     4.552077     11299.707502     181.872979     11990.200493
4361.900000     690.605723     4.553891     11304.205797     182.151572     11994.811520
4381.000000     691.158425     4.562793     11326.333663     183.529212     12017.492087
4403.000000     691.796292     4.573080     11352.025000     185.143858     12043.821292
4416.000000     692.173842     4.579176     11367.310340     186.112327     12059.484182
4420.400000     692.301734     4.581242     11372.501551     186.442578     12064.803285
4432.900000     692.665358     4.587119     11387.298598     187.387678     12079.963956
4457.100000     693.370569     4.598531     11416.155365     189.246912     12109.525934
4498.500000     694.580795     4.618156     11466.177828     192.521310     12160.758623
4498.800000     694.589582     4.618299     11466.543390     192.545483     12161.132972
