This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
4289.200000     694.800129     4.521258     11416.962825     184.248563     12111.762954
4358.000000     696.804096     4.553058     11499.326403     189.496033     12196.130499
4361.900000     696.918086     4.554871     11504.063805     189.803156     12200.981892
4381.000000     697.476959     4.563767     11527.374009     191.322920     12224.850967
4403.000000     698.121949     4.574047     11554.451016     193.106371     12252.572965
4416.000000     698.503717     4.580138     11570.567454     194.177253     12269.071171
4420.400000     698.633038     4.582203     11576.042068     194.542627     12274.675106
4432.900000     699.000725     4.588076     11591.650135     195.588807     12290.650860
4457.100000     699.713818     4.599480     11622.102338     197.649351     12321.816156
4498.500000     700.937577     4.619092     11674.934576     201.286305     12375.872153
4498.800000     700.946463     4.619234     11675.320881     201.313193     12376.267343
4501.200000     701.017556     4.620375     11678.413141     201.528581     12379.430698
4507.100000     701.192398     4.623182     11686.028732     202.060224     12387.221131
4511.500000     701.322853     4.625277     11691.720966     202.458703     12393.043819
4517.000000     701.486000     4.627898     11698.851726     202.959227     12400.337726
4531.200000     701.907613     4.634674     11717.342148     204.264101     12419.249761
4533.000000     701.961098     4.635535     11719.694308     204.430822     12421.655406
4577.500000     703.286319     4.656878     11778.450974     208.649697     12481.737293
4593.200000     703.755227     4.664445     11799.464666     210.184289     12503.219892
4598.000000     703.898729     4.666763     11805.919433     210.658444     12509.818162
4637.000000     705.067154     4.685657     11858.899485     214.600401     12563.966639
4644.200000     705.283346     4.689158     11868.786467     215.346086     12574.069813
4647.200000     705.373470     4.690618     11872.915967     215.658486     12578.289438
4753.100000     708.571719     4.742616     12022.588036     227.372981     12731.159754
4789.200000     709.669513     4.760546     12075.438721     231.700314     12785.108234
4796.200000     709.882829     4.764035     12085.800631     232.560988     12795.683460
4805.700000     710.172564     4.768777     12099.923599     233.740649     12810.096162
4810.200000     710.309900     4.771026     12106.637893     234.304165     12816.947793
4839.200000     711.196407     4.785556     12150.291618     238.010771     12861.488025
4869.700000     712.131487     4.800913     12196.939090     242.055585     12909.070577
4919.900000     713.676641     4.826356     12275.435077     249.066077     12989.111718
4955.400000     714.773941     4.844476     12332.301462     254.312082     13047.075403
5016.200000     716.662203     4.875757     12432.480068     263.916494     13149.142271
5053.200000     717.816875     4.894948     12495.274058     270.186548     13213.090933
5073.200000     718.442786     4.905370     12529.826407     273.723138     13248.269193
5101.200000     719.321151     4.920019     12578.949176     278.861053     13298.270328
5140.200000     720.548669     4.940538     12648.893391     286.409277     13369.442060
5162.200000     721.243220     4.952171     12689.168638     290.885327     13410.411858
5226.200000     723.272424     4.986258     12809.931853     304.913983     13533.204277
5253.000000     724.126019     5.000641     12862.197940     311.286662     13586.323959
5274.200000     724.802877     5.012064     12904.300356     316.561388     13629.103233
5292.000000     725.372295     5.021686     12940.188585     321.161289     13665.560880
5304.000000     725.756748     5.028190     12964.669089     324.355622     13690.425837
5312.200000     726.019724     5.032641     12981.533257     326.583521     13707.552982
5319.500000     726.254020     5.036610     12996.640933     328.598699     13722.894953
5335.600000     726.771363     5.045379     13030.281713     333.153038     13757.053076
5359.300000     727.534446     5.058330     13080.632486     340.148502     13808.166932
5366.200000     727.756952     5.062111     13095.483348     342.254178     13823.240301
5401.000000     728.881524     5.081245     13171.763603     353.389643     13900.645127
5413.900000     729.299397     5.088366     13200.648775     357.752285     13929.948172
5543.300000     733.521475     5.160672     13511.365246     410.655712     14244.886721
