This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     583.494880     3.094686     8267.401909     67.219813     8850.896789
669.670000     597.102913     3.272532     8570.212058     74.678788     9167.314971
962.100000     603.273287     3.355213     8712.671768     78.424816     9315.945055
1326.980000     611.177775     3.463007     8900.370041     83.608885     9511.547817
1412.040000     613.054269     3.488909     8945.841233     84.909157     9558.895502
1547.060000     616.059841     3.530646     9019.439467     87.051781     9635.499308
1861.210000     623.183700     3.630809     9197.848043     92.448015     9821.031743
2011.510000     626.658424     3.680299     9287.011283     95.256835     9913.669706
2062.220000     627.840688     3.697233     9317.685834     96.241041     9945.526522
2081.320000     628.287300     3.703642     9329.318995     96.616732     9957.606295
2092.580000     628.550928     3.707429     9336.197682     96.839513     9964.748610
2207.850000     631.264199     3.746542     9407.511346     99.177247     10038.775545
2336.560000     634.325356     3.790979     9489.133813     101.917116     10123.459169
2404.790000     635.961777     3.814867     9533.291618     103.428691     10169.253395
2429.000000     636.544729     3.823400     9549.112673     103.975365     10185.657402
2497.480000     638.200231     3.847697     9594.306261     105.551993     10232.506492
2506.450000     638.417803     3.850897     9600.275150     105.761903     10238.692953
2512.000000     638.552506     3.852879     9603.974039     105.892181     10242.526544
2535.790000     639.130637     3.861394     9619.879459     106.454118     10259.010096
2547.510000     639.415886     3.865599     9627.745265     106.733060     10267.161151
2673.210000     642.493496     3.911154     9713.386348     109.815440     10355.879844
2677.100000     642.589274     3.912577     9716.074728     109.913562     10358.664002
2678.700000     642.628678     3.913163     9717.181165     109.953969     10359.809842
2682.000000     642.709965     3.914371     9719.464436     110.037401     10362.174401
2696.600000     643.069881     3.919723     9729.586381     110.407989     10372.656263
2716.680000     643.565636     3.927102     9743.561646     110.921623     10387.127281
2776.700000     645.052646     3.949289     9785.713256     112.484772     10430.765903
2780.180000     645.139103     3.950581     9788.174871     112.576711     10433.313974
2806.300000     645.788865     3.960303     9806.713660     113.271452     10452.502525
2832.810000     646.449848     3.970207     9825.643066     113.985106     10472.092914
2857.800000     647.074338     3.979579     9843.593347     114.665868     10490.667685
2888.800000     647.850918     3.991252     9866.005686     115.521393     10513.856605
2956.700000     649.559286     4.017008     9915.668128     117.439312     10565.227415
2977.800000     650.092246     4.025064     9931.263819     118.047995     10581.356066
3032.100000     651.468368     4.045912     9971.762279     119.643088     10623.230646
3043.400000     651.755574     4.050271     9980.256879     119.980337     10632.012453
3093.400000     653.029851     4.069650     10018.124764     121.495193     10671.154616
3101.300000     653.231704     4.072725     10024.150324     121.737973     10677.382028
3127.900000     653.912403     4.083105     10044.525235     122.562478     10698.437638
3225.400000     656.421264     4.121506     10120.371101     125.680779     10776.792365
3248.000000     657.005926     4.130487     10138.219260     126.426016     10795.225187
3263.600000     657.410188     4.136705     10150.599317     126.945535     10808.009506
3291.000000     658.121606     4.147660     10172.463926     127.868305     10830.585532
3292.600000     658.163203     4.148301     10173.745460     127.922599     10831.908663
3297.430000     658.288809     4.150237     10177.617301     128.086777     10835.906109
3307.600000     658.553461     4.154319     10185.785624     128.433835     10844.339086
3309.700000     658.608139     4.155163     10187.474978     128.505730     10846.083117
3406.400000     661.137144     4.194299     10266.278382     131.905049     10927.415526
3418.300000     661.449890     4.199155     10276.115712     132.335752     10937.565602
3425.900000     661.649802     4.202260     10282.414733     132.612290     10944.064535
3429.900000     661.755074     4.203896     10285.735150     132.758299     10947.490224
3461.900000     662.598623     4.217020     10312.427183     133.938000     10975.025806
3464.900000     662.677831     4.218254     10314.941376     134.049670     10977.619206
3476.100000     662.973730     4.222864     10324.345740     134.468214     10987.319469
3537.400000     664.598576     4.248238     10376.329233     136.806043     11040.927809
3540.100000     664.670351     4.249361     10378.639045     136.910885     11043.309396
3541.100000     664.696939     4.249777     10379.494968     136.949756     11044.191907
3565.300000     665.341104     4.259865     10400.280711     137.897226     11065.621815
3570.100000     665.469041     4.261870     10404.420126     138.086718     11069.889166
3575.000000     665.599700     4.263919     10408.651490     138.280696     11074.251190
3580.900000     665.757102     4.266387     10413.754078     138.514989     11079.511180
3583.500000     665.826493     4.267476     10416.005347     138.618490     11081.831840
3607.000000     666.454422     4.277335     10436.427932     139.561069     11102.882353
3649.000000     667.580032     4.295044     10473.266778     141.278167     11140.846810
3657.900000     667.819109     4.298811     10481.129722     141.647503     11148.948831
3681.000000     668.440542     4.308613     10501.631769     142.615261     11170.072311
3719.000000     669.465675     4.324813     10535.656582     144.236610     11205.122257
3740.100000     670.036436     4.333850     10554.712271     145.153078     11224.748707
3775.000000     670.982921     4.348860     10586.491202     146.695103     11257.474123
3786.300000     671.290028     4.353738     10596.851136     147.201527     11268.141164
3867.200000     673.498049     4.388907     10672.054693     150.933643     11345.552743
3888.800000     674.090377     4.398372     10692.447985     151.962945     11366.538362
3892.000000     674.178229     4.399777     10695.480730     152.116654     11369.658959
3895.100000     674.263362     4.401139     10698.421552     152.265863     11372.684914
3902.100000     674.455686     4.404216     10705.072468     152.603889     11379.528154
3960.100000     676.054034     4.429842     10760.740142     155.464881     11436.794175
3978.400000     676.560127     4.437975     10778.515480     156.390535     11455.075608
4017.100000     677.633232     4.455252     10816.448194     158.385854     11494.081425
4039.200000     678.247775     4.465165     10838.322209     159.548986     11516.569983
4055.000000     678.687908     4.472273     10854.056848     160.391401     11532.744756
4110.500000     680.239104     4.497382     10909.976722     163.424780     11590.215826
4117.000000     680.421303     4.500337     10916.593236     163.787828     11597.014539
4125.300000     680.654118     4.504115     10925.062879     164.253848     11605.716997
4130.440000     680.798386     4.506456     10930.319723     164.543825     11611.118109
4133.200000     680.875881     4.507715     10933.146199     164.699971     11614.022081
4145.200000     681.213051     4.513192     10945.465708     165.382457     11626.678760
4147.800000     681.286155     4.514380     10948.141495     165.531104     11629.427650
4156.240000     681.523583     4.518240     10956.843701     166.015552     11638.367284
4182.000000     682.249410     4.530054     10983.558417     167.512551     11665.807827
4189.000000     682.446949     4.533272     10990.858447     167.924211     11673.305396
4222.100000     683.382791     4.548539     11025.615907     169.899687     11708.998698
4286.900000     685.223364     4.578660     11094.831669     173.911216     11780.055033
4289.200000     685.288900     4.579735     11097.317604     174.057252     11782.606504
4358.000000     687.255896     4.612068     11172.637497     178.548051     11859.893393
4361.900000     687.367782     4.613911     11176.963695     178.809940     11864.331477
4381.000000     687.916334     4.622956     11198.240806     180.104324     11886.157140
4403.000000     688.549409     4.633408     11222.935579     181.619998     11911.484988
4416.000000     688.924122     4.639602     11237.623462     182.528381     11926.547584
4420.400000     689.051053     4.641701     11242.610989     182.838018     11931.662041
4432.900000     689.411942     4.647672     11256.825277     183.723773     11946.237220
4457.100000     690.111847     4.659268     11284.536223     185.464743     11974.648070
4498.500000     691.312960     4.679209     11332.542669     188.525927     12023.855630
4498.800000     691.321682     4.679354     11332.893357     188.548503     12024.215039
4501.200000     691.391459     4.680514     11335.700337     188.729316     12027.091797
4507.100000     691.563064     4.683368     11342.612014     189.175390     12034.175078
4511.500000     691.691103     4.685498     11347.776872     189.509524     12039.467976
4517.000000     691.851228     4.688163     11354.245481     189.928967     12046.096709
4531.200000     692.265032     4.695054     11371.011095     191.021123     12063.276127
4533.000000     692.317526     4.695928     11373.143030     191.160525     12065.460557
4577.500000     693.618185     4.717631     11426.338187     194.677522     12119.956373
4593.200000     694.078397     4.725326     11445.334301     195.951745     12139.412698
4598.000000     694.219237     4.727682     11451.166264     196.344904     12145.385501
4637.000000     695.365980     4.746895     11498.979166     199.603442     12194.345146
4644.200000     695.578157     4.750455     11507.890835     200.217825     12203.468993
4647.200000     695.666608     4.751940     11511.611937     200.475025     12207.278545
4753.100000     698.805406     4.804815     11646.056079     210.037450     12344.861484
4789.200000     699.882764     4.823049     11693.324283     213.529034     12393.207047
4796.200000     700.092108     4.826597     11702.578639     214.220842     12402.670746
4805.700000     700.376445     4.831419     11715.185056     215.167624     12415.561501
4810.200000     700.511223     4.833706     11721.175514     215.619312     12421.686737
4839.200000     701.381209     4.848482     11760.077921     218.580940     12461.459131
4869.700000     702.298852     4.864099     11801.560061     221.794089     12503.858913
4919.900000     703.815169     4.889974     11871.151968     227.316638     12574.967137
4955.400000     704.891972     4.908401     11921.395855     231.410411     12626.287827
5016.200000     706.744926     4.940214     12009.540606     238.818660     12716.285533
5053.200000     707.877986     4.959731     12064.542383     243.594146     12772.420369
5073.200000     708.492175     4.970330     12094.722027     246.266420     12803.214202
5101.200000     709.354082     4.985229     12137.521242     250.121176     12846.875324
5140.200000     710.558581     5.006098     12198.238316     255.724992     12908.796898
5162.200000     711.240100     5.017929     12233.077600     259.014573     12944.317701
5226.200000     713.231195     5.052598     12336.977993     269.162510     13050.209189
5253.000000     714.068744     5.067226     12381.672384     273.690791     13095.741128
5274.200000     714.732872     5.078845     12417.549981     277.400219     13132.282853
5292.000000     715.291576     5.088632     12448.041334     280.606429     13163.332910
5304.000000     715.668793     5.095246     12468.791477     282.817207     13184.460269
5312.200000     715.926818     5.099774     12483.062385     284.351485     13198.989203
5319.500000     716.156702     5.103810     12495.830443     285.733860     13211.987145
5335.600000     716.664302     5.112729     12524.204855     288.839107     13240.869157
5359.300000     717.413007     5.125903     12566.524166     293.557560     13283.937173
5366.200000     717.631319     5.129748     12578.971283     294.965686     13296.602603
5401.000000     718.734685     5.149210     12642.646826     302.318678     13361.381511
5413.900000     719.144674     5.156454     12666.643239     305.156473     13385.787913
5543.300000     723.286974     5.230001     12920.365924     337.645622     13643.652898
5566.000000     724.019254     5.243071     12967.572265     344.245517     13691.591518
5572.200000     724.219554     5.246650     12980.620165     346.103740     13704.839719
5579.300000     724.449085     5.250753     12995.645549     348.262306     13720.094633
5592.300000     724.869783     5.258278     13023.391874     352.302079     13748.261656
5601.900000     725.180810     5.263846     13044.080693     355.360668     13769.261503
5735.300000     729.534512     5.342177     13351.267769     406.111391     14080.802281
5797.300000     731.578342     5.379203     13508.814726     436.872014     14240.393068
