This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     660.389699     0.397699     10242.850830     12.434421     10903.240529
259.000000     667.434586     0.408019     10468.489841     13.393727     11135.924426
481.000000     673.610887     0.417201     10675.932322     14.343462     11349.543209
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.053838, a0 = 19.579224MeV, a1 = -0.999171, a2 = -0.000517(MeV)^-1



Deutrons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1440.084488     1.352792     12964.418696     17.980051     14404.503184
63.582000     1445.179008     1.365183     12896.967933     18.005100     14342.146941
156.047000     1452.664602     1.383525     12798.797931     18.042009     14251.462533
169.443000     1453.756730     1.386215     12784.567570     18.047404     14238.324300
172.069000     1453.971047     1.386743     12781.777777     18.048464     14235.748824
182.743000     1454.842962     1.388894     12770.437208     18.052773     14225.280170
205.342000     1456.693083     1.393464     12746.422738     18.061924     14203.115821
207.855000     1456.899161     1.393974     12743.751984     18.062944     14200.651145
230.910000     1458.793017     1.398664     12719.246382     18.072320     14178.039400
256.923000     1460.936892     1.403986     12691.589448     18.082944     14152.526339
284.598000     1463.225974     1.409683     12662.157031     18.094299     14125.383004
287.127000     1463.435580     1.410205     12659.466998     18.095339     14122.902578
290.666000     1463.729015     1.410937     12655.702531     18.096796     14119.431547
300.212000     1464.521218     1.412913     12645.547647     18.100729     14110.068866
316.932000     1465.911234     1.416386     12627.758653     18.107634     14093.669888
325.867000     1466.655331     1.418247     12618.251073     18.111332     14084.906404
346.580000     1468.383744     1.422576     12596.207177     18.119927     14064.590921
352.430000     1468.872779     1.423803     12589.980390     18.122360     14058.853168
360.882000     1469.580014     1.425578     12580.983310     18.125880     14050.563324
362.715000     1469.733500     1.425963     12579.031989     18.126644     14048.765489
372.077000     1470.518021     1.427935     12569.065052     18.130550     14039.583073
429.755000     1475.373400     1.440174     12507.637480     18.154755     13983.010880
439.753000     1476.218920     1.442313     12496.985538     18.158975     13973.204458
448.200000     1476.934172     1.444124     12487.985120     18.162547     13964.919293
462.087000     1478.111852     1.447109     12473.186452     18.168430     13951.298303
470.140000     1478.795806     1.448844     12464.603728     18.171848     13943.399534
482.153000     1479.817489     1.451439     12451.799080     18.176957     13931.616569
499.724000     1481.314899     1.455247     12433.067052     18.184448     13914.381952
511.750000     1482.341841     1.457863     12420.244282     18.189588     13902.586123
523.044000     1483.307819     1.460327     12408.200425     18.194426     13891.508243
541.550000     1484.893883     1.464378     12388.462401     18.202373     13873.356284
550.200000     1485.636620     1.466277     12379.235110     18.206097     13864.871730
556.840000     1486.207367     1.467738     12372.151348     18.208960     13858.358715
575.440000     1487.808930     1.471842     12352.305422     18.216996     13840.114352
582.160000     1488.388570     1.473330     12345.134242     18.219905     13833.522813
609.040000     1490.712518     1.479303     12316.443991     18.231580     13807.156509
628.880000     1492.433364     1.483736     12295.262150     18.240233     13787.695515
647.300000     1494.035286     1.487872     12275.591992     18.248294     13769.627278
680.110000     1496.898825     1.495283     12240.544741     18.262718     13737.443566
757.660000     1503.719405     1.513034     12157.653025     18.297154     13661.372431
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.014827, a0 = 14.561938MeV, a1 = -0.999144, a2 = -0.000833(MeV)^-1



Tritons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1947.486839     1.946158     12605.306198     19.707066     14552.793037
134.243000     1961.946431     1.984885     12460.058160     19.778679     14422.004591
206.244000     1969.809576     2.006166     12382.044098     19.817793     14351.853675
303.130000     1980.511831     2.035380     12276.942222     19.871226     14257.454053
511.766000     2004.044998     2.100647     12050.114603     19.989521     14054.159601
581.990000     2012.119796     2.123369     11973.609662     20.030368     13985.729457
589.136000     2012.945928     2.125704     11965.819956     20.034555     13978.765883
618.362000     2016.333282     2.135293     11933.952466     20.051735     13950.285748
625.513000     2017.164211     2.137650     11926.152979     20.055953     13943.317190
647.230000     2019.692791     2.144833     11902.461325     20.068797     13922.154116
685.775000     2024.199763     2.157678     11860.391997     20.091724     13884.591760
718.730000     2028.072581     2.168758     11824.403798     20.111457     13852.476379
767.800000     2033.872782     2.185425     11770.782894     20.141070     13804.655676
772.900000     2034.477936     2.187169     11765.207522     20.144163     13799.685458
816.564000     2039.677020     2.202192     11717.455090     20.170772     13757.132110
826.790000     2040.899319     2.205735     11706.266778     20.177036     13747.166096
844.860000     2043.063572     2.212016     11686.491821     20.188135     13729.555392
864.640000     2045.439059     2.218926     11664.838921     20.200328     13710.277980
879.459000     2047.223173     2.224125     11648.612223     20.209493     13695.835395
933.620000     2053.776249     2.243293     11589.273011     20.243215     13643.049260
960.180000     2057.008566     2.252789     11560.154409     20.259882     13617.162975
969.300000     2058.121325     2.256065     11550.152908     20.265625     13608.274233
1000.930000     2061.992017     2.267485     11515.453959     20.285621     13577.445976
1003.140000     2062.263129     2.268287     11513.028847     20.287023     13575.291976
1190.470000     2085.565180     2.337904     11307.134914     20.408088     13392.700094
1220.910000     2089.412706     2.349540     11273.615641     20.428190     13363.028347
1230.110000     2090.578982     2.353075     11263.481464     20.434289     13354.060446
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.007552, a0 = 14.796227MeV, a1 = -1.004337, a2 = -0.000863(MeV)^-1



Helium-3:
