This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     665.152161     0.396793     10357.023511     12.616835     11022.175673
259.000000     672.253941     0.407071     10588.542290     13.612789     11260.796231
481.000000     678.480241     0.416215     10801.762865     14.603027     11480.243106
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.053386, a0 = 19.572541MeV, a1 = -1.000543, a2 = -0.000491(MeV)^-1



Deutrons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1451.691172     1.343819     12923.361538     17.681736     14375.052710
63.582000     1456.836636     1.356112     12855.919660     17.705959     14312.756296
156.047000     1464.397254     1.374311     12757.761831     17.741658     14222.159086
169.443000     1465.500346     1.376980     12743.533159     17.746876     14209.033505
172.069000     1465.716815     1.377504     12740.743695     17.747901     14206.460510
182.743000     1466.597486     1.379638     12729.404455     17.752070     14196.001941
205.342000     1468.466197     1.384173     12705.392758     17.760922     14173.858955
207.855000     1468.674346     1.384678     12702.722309     17.761908     14171.396655
230.910000     1470.587245     1.389332     12678.219473     17.770978     14148.806719
256.923000     1472.752693     1.394612     12650.565590     17.781256     14123.318283
284.598000     1475.064828     1.400264     12621.136338     17.792241     14096.201166
287.127000     1475.276546     1.400783     12618.446590     17.793247     14093.723136
290.666000     1475.572939     1.401509     12614.682521     17.794657     14090.255460
300.212000     1476.373126     1.403470     12604.528703     17.798462     14080.901828
316.932000     1477.777157     1.406915     12586.741550     17.805143     14064.518707
325.867000     1478.528759     1.408761     12577.234942     17.808721     14055.763701
346.580000     1480.274613     1.413057     12555.193264     17.817037     14035.467876
352.430000     1480.768585     1.414274     12548.967094     17.819391     14029.735679
360.882000     1481.482961     1.416035     12539.970900     17.822797     14021.453861
362.715000     1481.637997     1.416418     12538.019769     17.823536     14019.657767
372.077000     1482.430443     1.418373     12528.053802     17.827315     14010.484245
429.755000     1487.334915     1.430518     12466.631981     17.850738     13953.966896
439.753000     1488.188993     1.432640     12455.980998     17.854822     13944.169991
448.200000     1488.911488     1.434436     12446.981380     17.858278     13935.892868
462.087000     1490.101095     1.437398     12432.184009     17.863972     13922.285104
470.140000     1490.791979     1.439119     12423.602028     17.867280     13914.394006
482.153000     1491.824017     1.441694     12410.798472     17.872224     13902.622489
499.724000     1493.336610     1.445473     12392.068013     17.879474     13885.404623
511.750000     1494.373970     1.448068     12379.246295     17.884449     13873.620264
523.044000     1495.349750     1.450513     12367.203409     17.889131     13862.553160
