This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     583.629292     3.076806     8273.308100     66.954159     8856.937392
669.670000     597.251969     3.253425     8577.041781     74.399396     9174.293750
962.100000     603.429124     3.335531     8719.969069     78.140248     9323.398192
1326.980000     611.342424     3.442572     8908.318295     83.319136     9519.660719
1412.040000     613.221030     3.468292     8953.953438     84.618479     9567.174468
1547.060000     616.230003     3.509736     9027.822410     86.759900     9644.052413
1861.210000     623.362004     3.609192     9206.915914     92.154960     9830.277918
2011.510000     626.840741     3.658331     9296.437344     94.964241     9923.278085
2062.220000     628.024377     3.675145     9327.237668     95.948786     9955.262045
2081.320000     628.471508     3.681509     9338.918873     96.324631     9967.390382
2092.580000     628.735443     3.685269     9345.826060     96.547510     9974.561503
2207.850000     631.451877     3.724104     9417.439191     98.886558     10048.891069
2336.560000     634.516625     3.768224     9499.413575     101.628645     10133.930199
2404.790000     636.154973     3.791943     9543.765952     103.141761     10179.920926
2429.000000     636.738613     3.800414     9559.657450     103.689049     10196.396063
2497.480000     638.396073     3.824537     9605.054409     105.267615     10243.450482
2506.450000     638.613904     3.827715     9611.050398     105.477802     10249.664302
2512.000000     638.748766     3.829683     9614.766109     105.608254     10253.514875
2535.790000     639.327583     3.838136     9630.744115     106.170962     10270.071698
2547.510000     639.613171     3.842312     9638.645967     106.450298     10278.259137
2673.210000     642.694447     3.887540     9724.686003     109.537568     10367.380450
2677.100000     642.790339     3.888953     9727.387103     109.635861     10370.177441
2678.700000     642.829790     3.889534     9728.498777     109.676339     10371.328567
2682.000000     642.911174     3.890734     9730.792865     109.759918     10373.704039
2696.600000     643.271521     3.896048     9740.962864     110.131168     10384.234385
2716.680000     643.767868     3.903374     9755.004758     110.645744     10398.772626
2776.700000     645.256661     3.925401     9797.359338     112.211928     10442.616000
2780.180000     645.343222     3.926684     9799.832900     112.304053     10445.176121
2806.300000     645.993764     3.936336     9818.461999     113.000232     10464.455764
2832.810000     646.655542     3.946169     9837.484233     113.715416     10484.139775
2857.800000     647.280784     3.955473     9855.523120     114.397687     10502.803904
2888.800000     648.058301     3.967063     9878.046887     115.255179     10526.105187
2956.700000     649.768733     3.992633     9927.959433     117.177792     10577.728166
2977.800000     650.302339     4.000631     9943.634586     117.788047     10593.936925
3032.100000     651.680130     4.021328     9984.341478     119.387451     10636.021608
3043.400000     651.967685     4.025657     9992.880184     119.725647     10644.847868
3093.400000     653.243513     4.044895     10030.946334     121.244910     10684.189847
3101.300000     653.445612     4.047948     10037.003693     121.488420     10690.449304
3127.900000     654.127140     4.058253     10057.486643     122.315452     10711.613783
3225.400000     656.639069     4.096376     10133.741775     125.443992     10790.380845
3248.000000     657.224449     4.105292     10151.687897     126.191836     10808.912345
3263.600000     657.629207     4.111465     10164.136279     126.713210     10821.765486
3291.000000     658.341499     4.122341     10186.122318     127.639351     10844.463816
3292.600000     658.383147     4.122977     10187.410999     127.693847     10845.794145
3297.430000     658.508907     4.124899     10191.304454     127.858635     10849.813361
3307.600000     658.773885     4.128951     10199.518478     128.206995     10858.292363
3309.700000     658.828631     4.129789     10201.217301     128.279162     10860.045931
3406.400000     661.360754     4.168641     10280.468999     131.691985     10941.829753
3418.300000     661.673887     4.173461     10290.363212     132.124494     10952.037099
3425.900000     661.874047     4.176545     10296.698764     132.402203     10958.572811
3429.900000     661.979450     4.178169     10300.038473     132.548834     10962.017922
3461.900000     662.824043     4.191197     10326.886452     133.733651     10989.710495
3464.900000     662.903349     4.192422     10329.415413     133.845813     10992.318762
3476.100000     663.199615     4.196999     10338.875142     134.266217     11002.074757
3537.400000     664.826479     4.222188     10391.168195     136.614813     11055.994675
3540.100000     664.898344     4.223302     10393.491902     136.720153     11058.390246
3541.100000     664.924965     4.223715     10394.352977     136.759209     11059.277942
3565.300000     665.569932     4.233730     10415.264340     137.711243     11080.834272
3570.100000     665.698028     4.235721     10419.428888     137.901660     11085.126916
3575.000000     665.828850     4.237754     10423.685984     138.096590     11089.514835
3580.900000     665.986448     4.240205     10428.819658     138.332039     11094.806107
3583.500000     666.055925     4.241286     10431.084661     138.436052     11097.140586
3607.000000     666.684638     4.251073     10451.632364     139.383360     11118.317002
3649.000000     667.811655     4.268653     10488.699352     141.109346     11156.511006
3657.900000     668.051031     4.272392     10496.611403     141.480641     11164.662434
3681.000000     668.673242     4.282123     10517.242183     142.453609     11185.915425
3719.000000     669.699660     4.298205     10551.482860     144.083943     11221.182520
3740.100000     670.271138     4.307175     10570.660670     145.005632     11240.931808
3775.000000     671.218813     4.322076     10602.645247     146.556678     11273.864060
3786.300000     671.526305     4.326918     10613.072765     147.066129     11284.599070
3867.200000     673.737112     4.361830     10688.775059     150.821542     11362.512171
3888.800000     674.330189     4.371226     10709.306109     151.857578     11383.636298
3892.000000     674.418153     4.372620     10712.359433     152.012305     11386.777586
3895.100000     674.503392     4.373972     10715.320234     152.162504     11389.823627
3902.100000     674.695960     4.377026     10722.016418     152.502784     11396.712378
3960.100000     676.296334     4.402464     10778.067610     155.383442     11454.363945
3978.400000     676.803071     4.410538     10795.967177     156.315684     11472.770248
4017.100000     677.877540     4.427688     10834.167907     158.325585     11512.045447
4039.200000     678.492866     4.437528     10856.198302     159.497458     11534.691168
4055.000000     678.933560     4.444584     10872.046269     160.346315     11550.979829
4110.500000     680.486737     4.469508     10928.374667     163.403670     11608.861404
4117.000000     680.669169     4.472442     10935.040122     163.769669     11615.709291
4125.300000     680.902282     4.476191     10943.572601     164.239505     11624.474884
4130.440000     681.046735     4.478516     10948.868554     164.531871     11629.915288
4133.200000     681.124329     4.479765     10951.716091     164.689308     11632.840420
4145.200000     681.461931     4.485202     10964.127677     165.377475     11645.589608
4147.800000     681.535128     4.486381     10966.823523     165.527367     11648.358651
4156.240000     681.772861     4.490213     10975.591114     166.015896     11657.363975
4182.000000     682.499618     4.501940     11002.507987     167.525706     11685.007605
4189.000000     682.697411     4.505134     11009.863637     167.940942     11692.561048
4222.100000     683.634455     4.520289     11044.888177     169.933903     11728.522632
4286.900000     685.477399     4.550188     11114.647144     173.982602     11800.124543
4289.200000     685.543020     4.551254     11117.152874     174.130033     11802.695894
4358.000000     687.512557     4.583348     11193.082233     178.665215     11880.594790
4361.900000     687.624588     4.585178     11197.444016     178.929781     11885.068604
4381.000000     688.173851     4.594156     11218.897065     180.237540     11907.070916
4403.000000     688.807747     4.604531     11243.797996     181.769183     11932.605743
