This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     585.327497     3.149145     8292.251351     68.367091     8877.578848
669.670000     598.955824     3.330662     8595.330719     75.954210     9194.286543
962.100000     605.135150     3.415062     8737.894543     79.763738     9343.029693
1326.980000     613.050879     3.525108     8925.706474     85.034655     9538.757353
1412.040000     614.930004     3.551553     8971.201010     86.356515     9586.131014
1547.060000     617.939761     3.594166     9044.833446     88.534533     9662.773207
1861.210000     625.073394     3.696440     9223.305917     94.018891     9848.379311
2011.510000     628.552811     3.746976     9312.490592     96.872983     9941.043403
2062.220000     629.736661     3.764269     9343.170843     97.872953     9972.907504
2081.320000     630.183871     3.770814     9354.805937     98.254648     9984.989808
2092.580000     630.447851     3.774681     9361.685708     98.480985     9992.133559
2207.850000     633.164732     3.814625     9433.007985     100.855875     10066.172717
2336.560000     636.229928     3.860006     9514.634315     103.638904     10150.864244
2404.790000     637.868493     3.884404     9558.791477     105.174108     10196.659970
2429.000000     638.452206     3.893118     9574.611827     105.729296     10213.064033
2497.480000     640.109861     3.917933     9619.801999     107.330380     10259.911861
2506.450000     640.327716     3.921202     9625.770281     107.543535     10266.097997
2512.000000     640.462593     3.923226     9629.468775     107.675827     10269.931368
2535.790000     641.041473     3.931923     9645.372336     108.246434     10286.413810
2547.510000     641.327091     3.936218     9653.237126     108.529672     10294.564217
2673.210000     644.408662     3.982747     9738.862925     111.659228     10383.271588
2677.100000     644.504563     3.984200     9741.550699     111.758842     10386.055262
2678.700000     644.544017     3.984799     9742.656884     111.799864     10387.200901
2682.000000     644.625409     3.986033     9744.939632     111.884564     10389.565040
2696.600000     644.985785     3.991499     9755.059187     112.260780     10400.044972
2716.680000     645.482173     3.999037     9769.030969     112.782202     10414.513142
2776.700000     646.971077     4.021699     9811.170780     114.368952     10458.141858
2780.180000     647.057644     4.023019     9813.631645     114.462274     10460.689289
2806.300000     647.708231     4.032949     9832.164572     115.167452     10479.872803
2832.810000     648.370051     4.043065     9851.087596     115.891796     10499.457647
2857.800000     648.995330     4.052638     9869.031452     116.582726     10518.026782
2888.800000     649.772890     4.064563     9891.435255     117.450988     10541.208145
2956.700000     651.483405     4.090872     9941.076725     119.397296     10592.560130
2977.800000     652.017032     4.099101     9956.665238     120.014939     10608.682270
3032.100000     653.394871     4.120398     9997.143717     121.633402     10650.538589
3043.400000     653.682435     4.124851     10005.633879     121.975572     10659.316314
