This file was generated by QKinz.


Protons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     662.359435     0.396899     10290.430898     12.498330     10952.790333
259.000000     669.428244     0.407187     10518.539342     13.471916     11187.967586
481.000000     675.625573     0.416341     10728.406901     14.437522     11404.032474
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.104090, a0 = 19.573857MeV, a1 = -0.999364, a2 = -0.000532(MeV)^-1



Deutrons:
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1444.967591     1.346856     12944.605986     17.822291     14389.573576
63.582000     1450.083994     1.359183     12877.164128     17.846892     14327.248122
156.047000     1457.601819     1.377431     12779.006770     17.883146     14236.608589
169.443000     1458.698658     1.380107     12764.778210     17.888446     14223.476868
172.069000     1458.913899     1.380632     12761.988769     17.889486     14220.902668
182.743000     1459.789576     1.382772     12750.649628     17.893720     14210.439205
205.342000     1461.647685     1.387319     12726.638166     17.902708     14188.285851
207.855000     1461.854653     1.387826     12723.967745     17.903710     14185.822398
230.910000     1463.756692     1.392492     12699.465185     17.912920     14163.221877
256.923000     1465.909836     1.397786     12671.811655     17.923356     14137.721491
284.598000     1468.208824     1.403454     12642.382826     17.934511     14110.591650
287.127000     1468.419338     1.403974     12639.693119     17.935533     14108.112457
290.666000     1468.714045     1.404702     12635.929108     17.936964     14104.643153
300.212000     1469.509679     1.406668     12625.775452     17.940828     14095.285130
316.932000     1470.905718     1.410122     12607.988596     17.947611     14078.894314
325.867000     1471.653040     1.411974     12598.482154     17.951244     14070.135194
346.580000     1473.388948     1.416281     12576.440881     17.959688     14049.829830
352.430000     1473.880105     1.417501     12570.214832     17.962078     14044.094937
360.882000     1474.590409     1.419267     12561.218815     17.965536     14035.809224
362.715000     1474.744562     1.419651     12559.267723     17.966287     14034.012285
372.077000     1475.532489     1.421612     12549.301959     17.970124     14024.834447
429.755000     1480.408969     1.433788     12487.881518     17.993904     13968.290486
439.753000     1481.258168     1.435916     12477.230796     17.998051     13958.488964
448.200000     1481.976533     1.437717     12468.231405     18.001560     13950.207938
